element_id,node_1,node_2,node_3
247167,20923,20720,20679
247168,20679,20231,20396
247169,20679,20720,20231
247170,20720,20464,20231
247171,20396,19896,20143
247172,20396,20231,19896
247173,20231,19929,19896
247174,20231,20464,19929
247175,20464,20249,19929
247176,20143,19629,19887
247177,20143,19896,19629
247178,19896,19546,19629
247179,19896,19929,19546
247180,19929,19701,19546
247181,19929,20249,19701
247182,20249,20011,19701
247183,19887,19349,19656
247184,19887,19629,19349
247185,19629,19225,19349
247186,19629,19546,19225
247187,19546,19260,19225
247188,19546,19701,19260
247189,19701,19464,19260
247190,19701,20011,19464
247191,20011,19822,19464
247192,19656,19085,19380
247193,19656,19349,19085
247194,19349,18908,19085
247195,19349,19225,18908
247196,19225,18867,18908
247197,19225,19260,18867
247198,19260,18987,18867
247199,19260,19464,18987
247200,19464,19248,18987
247201,19464,19822,19248
247202,19822,19617,19248
247203,19380,18829,19146
247204,19380,19085,18829
247205,19085,18630,18829
247206,19085,18908,18630
247207,18908,18542,18630
247208,18908,18867,18542
247209,18867,18578,18542
247210,18867,18987,18578
247211,18987,18743,18578
247212,18987,19248,18743
247213,19248,19020,18743
247214,19248,19617,19020
247215,19617,19395,19020
247216,19146,18582,18901
247217,19146,18829,18582
247218,18829,18351,18582
247219,18829,18630,18351
247220,18630,18237,18351
247221,18630,18542,18237
247222,18542,18221,18237
247223,18542,18578,18221
247224,18578,18316,18221
247225,18578,18743,18316
247226,18743,18506,18316
247227,18743,19020,18506
247228,19020,18802,18506
247229,19020,19395,18802
247230,19395,19202,18802
247231,18901,18330,18666
247232,18901,18582,18330
247233,18582,18096,18330
247234,18582,18351,18096
247235,18351,17928,18096
247236,18351,18237,17928
247237,18237,17872,17928
247238,18237,18221,17872
247239,18221,17909,17872
247240,18221,18316,17909
247241,18316,18061,17909
247242,18316,18506,18061
247243,18506,18293,18061
247244,18506,18802,18293
247245,18802,18610,18293
247246,18802,19202,18610
247247,19202,18989,18610
247248,18666,18100,18431
247249,18666,18330,18100
247250,18330,17826,18100
247251,18330,18096,17826
247252,18096,17675,17826
247253,18096,17928,17675
247254,17928,17578,17675
247255,17928,17872,17578
247256,17872,17568,17578
247257,17872,17909,17568
247258,17909,17660,17568
247259,17909,18061,17660
247260,18061,17811,17660
247261,18061,18293,17811
247262,18293,18075,17811
247263,18293,18610,18075
247264,18610,18391,18075
247265,18610,18989,18391
247266,18989,18786,18391
247267,18431,17847,18201
247268,18431,18100,17847
247269,18100,17594,17847
247270,18100,17826,17594
247271,17826,17402,17594
247272,17826,17675,17402
247273,17675,17293,17402
247274,17675,17578,17293
247275,17578,17247,17293
247276,17578,17568,17247
247277,17568,17294,17247
247278,17568,17660,17294
247279,17660,17403,17294
247280,17660,17811,17403
247281,17811,17595,17403
247282,17811,18075,17595
247283,18075,17848,17595
247284,18075,18391,17848
247285,18391,18202,17848
247286,18391,18786,18202
247287,18786,18595,18202
247288,18201,17632,17964
247289,18201,17847,17632
247290,17847,17354,17632
247291,17847,17594,17354
247292,17594,17136,17354
247293,17594,17402,17136
247294,17402,16992,17136
247295,17402,17293,16992
247296,17293,16924,16992
247297,17293,17247,16924
247298,17247,16927,16924
247299,17247,17294,16927
247300,17294,17010,16927
247301,17294,17403,17010
247302,17403,17164,17010
247303,17403,17595,17164
247304,17595,17376,17164
247305,17595,17848,17376
247306,17848,17669,17376
247307,17848,18202,17669
247308,18202,17996,17669
247309,18202,18595,17996
247310,18595,18397,17996
247311,17964,17409,17746
247312,17964,17632,17409
247313,17632,17117,17409
247314,17632,17354,17117
247315,17354,16882,17117
247316,17354,17136,16882
247317,17136,16722,16882
247318,17136,16992,16722
247319,16992,16616,16722
247320,16992,16924,16616
247321,16924,16587,16616
247322,16924,16927,16587
247323,16927,16626,16587
247324,16927,17010,16626
247325,17010,16750,16626
247326,17010,17164,16750
247327,17164,16923,16750
247328,17164,17376,16923
247329,17376,17172,16923
247330,17376,17669,17172
247331,17669,17469,17172
247332,17669,17996,17469
247333,17996,17804,17469
247334,17996,18397,17804
247335,18397,18219,17804
247336,17746,17186,17531
247337,17746,17409,17186
247338,17409,16877,17186
247339,17409,17117,16877
247340,17117,16631,16877
247341,17117,16882,16631
247342,16882,16466,16631
247343,16882,16722,16466
247344,16722,16342,16466
247345,16722,16616,16342
247346,16616,16296,16342
247347,16616,16587,16296
247348,16587,16305,16296
247349,16587,16626,16305
247350,16626,16364,16305
247351,16626,16750,16364
247352,16750,16502,16364
247353,16750,16923,16502
247354,16923,16693,16502
247355,16923,17172,16693
247356,17172,16961,16693
247357,17172,17469,16961
247358,17469,17278,16961
247359,17469,17804,17278
247360,17804,17623,17278
247361,17804,18219,17623
247362,18219,18024,17623
247363,17531,16957,17314
247364,17531,17186,16957
247365,17186,16640,16957
247366,17186,16877,16640
247367,16877,16403,16640
247368,16877,16631,16403
247369,16631,16201,16403
247370,16631,16466,16201
247371,16466,16070,16201
247372,16466,16342,16070
247373,16342,15990,16070
247374,16342,16296,15990
247375,16296,15972,15990
247376,16296,16305,15972
247377,16305,16020,15972
247378,16305,16364,16020
247379,16364,16111,16020
247380,16364,16502,16111
247381,16502,16273,16111
247382,16502,16693,16273
247383,16693,16488,16273
247384,16693,16961,16488
247385,16961,16758,16488
247386,16961,17278,16758
247387,17278,17074,16758
247388,17278,17623,17074
247389,17623,17448,17074
247390,17623,18024,17448
247391,18024,17835,17448
247392,17314,16735,17091
247393,17314,16957,16735
247394,16957,16428,16735
247395,16957,16640,16428
247396,16640,16164,16428
247397,16640,16403,16164
247398,16403,15962,16164
247399,16403,16201,15962
247400,16201,15803,15962
247401,16201,16070,15803
247402,16070,15705,15803
247403,16070,15990,15705
247404,15990,15663,15705
247405,15990,15972,15663
247406,15972,15675,15663
247407,15972,16020,15675
247408,16020,15746,15675
247409,16020,16111,15746
247410,16111,15867,15746
247411,16111,16273,15867
247412,16273,16047,15867
247413,16273,16488,16047
247414,16488,16287,16047
247415,16488,16758,16287
247416,16758,16557,16287
247417,16758,17074,16557
247418,17074,16887,16557
247419,17074,17448,16887
247420,17448,17267,16887
247421,17448,17835,17267
247422,17835,17682,17267
247423,17091,16520,16864
247424,17091,16735,16520
247425,16735,16197,16520
247426,16735,16428,16197
247427,16428,15937,16197
247428,16428,16164,15937
247429,16164,15729,15937
247430,16164,15962,15729
247431,15962,15560,15729
247432,15962,15803,15560
247433,15803,15432,15560
247434,15803,15705,15432
247435,15705,15369,15432
247436,15705,15663,15369
247437,15663,15355,15369
247438,15663,15675,15355
247439,15675,15394,15355
247440,15675,15746,15394
247441,15746,15498,15394
247442,15746,15867,15498
247443,15867,15643,15498
247444,15867,16047,15643
247445,16047,15830,15643
247446,16047,16287,15830
247447,16287,16081,15830
247448,16287,16557,16081
247449,16557,16366,16081
247450,16557,16887,16366
247451,16887,16702,16366
247452,16887,17267,16702
247453,17267,17087,16702
247454,17267,17682,17087
247455,17682,17497,17087
247456,16864,16311,16652
247457,16864,16520,16311
247458,16520,15988,16311
247459,16520,16197,15988
247460,16197,15717,15988
247461,16197,15937,15717
247462,15937,15488,15717
247463,15937,15729,15488
247464,15729,15299,15488
247465,15729,15560,15299
247466,15560,15163,15299
247467,15560,15432,15163
247468,15432,15076,15163
247469,15432,15369,15076
247470,15369,15050,15076
247471,15369,15355,15050
247472,15355,15063,15050
247473,15355,15394,15063
247474,15394,15130,15063
247475,15394,15498,15130
247476,15498,15241,15130
247477,15498,15643,15241
247478,15643,15414,15241
247479,15643,15830,15414
247480,15830,15627,15414
247481,15830,16081,15627
247482,16081,15884,15627
247483,16081,16366,15884
247484,16366,16177,15884
247485,16366,16702,16177
247486,16702,16528,16177
247487,16702,17087,16528
247488,17087,16905,16528
247489,17087,17497,16905
247490,17497,17327,16905
247491,16652,16095,16457
247492,16652,16311,16095
247493,16311,15772,16095
247494,16311,15988,15772
247495,15988,15502,15772
247496,15988,15717,15502
247497,15717,15250,15502
247498,15717,15488,15250
247499,15488,15061,15250
247500,15488,15299,15061
247501,15299,14901,15061
247502,15299,15163,14901
247503,15163,14797,14901
247504,15163,15076,14797
247505,15076,14743,14797
247506,15076,15050,14743
247507,15050,14738,14743
247508,15050,15063,14738
247509,15063,14782,14738
247510,15063,15130,14782
247511,15130,14875,14782
247512,15130,15241,14875
247513,15241,15013,14875
247514,15241,15414,15013
247515,15414,15188,15013
247516,15414,15627,15188
247517,15627,15429,15188
