node_id,x,y,z
1,-151.15,130.972,-100.0
2,-155.728,125.494,-100.0
3,-146.379,136.284,-100.0
4,-147.977,124.364,-100.0
5,-148.789,133.649,-92.9648
6,-153.464,128.252,-92.9558
7,-143.248,128.673,-100.0
8,-150.73,118.159,-100.0
9,-157.945,122.693,-92.9423
10,-145.443,125.36,-89.9323
11,-143.427,139.387,-93.7585
12,-138.814,135.196,-100.0
13,-160.108,119.856,-100.0
14,-141.421,141.421,-100.0
15,-152.135,129.827,-83.9457
16,-139.028,118.52,-100.0
17,-136.06,136.416,-90.5299
18,-156.182,112.623,-100.0
19,-133.704,138.564,-100.0
20,-138.874,143.923,-92.9693
21,-162.224,116.977,-92.9243
22,-141.358,141.484,-84.9282
23,-164.284,114.065,-100.0
24,-136.284,146.379,-100.0
25,-154.437,112.831,-89.0407
26,-129.318,131.037,-100.0
27,-145.586,108.984,-100.0
28,-161.14,118.465,-83.7601
29,-133.249,119.778,-88.0887
30,-141.569,116.186,-82.5682
31,-128.673,143.248,-100.0
32,-161.168,107.058,-100.0
33,-133.649,148.789,-92.9648
34,-166.296,111.111,-92.9016
35,-142.093,107.631,-91.8106
36,-138.142,125.053,-77.1858
37,-168.251,108.128,-100.0
38,-130.972,151.15,-100.0
39,-164.518,105.78,-93.996
40,-128.004,121.178,-84.269
41,-130.397,139.834,-80.5612
42,-146.366,136.297,-70.5411
43,-155.686,125.546,-70.5039
44,-137.332,137.69,-73.4352
45,-125.352,145.447,-89.9325
46,-131.938,106.322,-100.0
47,-124.017,115.464,-100.0
48,-164.134,102.153,-100.0
49,-147.474,113.485,-73.7214
50,-131.533,110.577,-84.8976
51,-155.401,99.059,-100.0
52,-124.023,148.628,-100.0
53,-157.057,103.136,-84.4314
54,-128.252,153.464,-92.9558
55,-170.156,105.105,-92.8743
56,-119.59,128.88,-88.6965
57,-129.807,152.151,-83.9457
58,-126.679,130.946,-75.851
59,-169.193,106.648,-83.6611
60,-120.865,116.289,-89.5442
61,-172.003,102.054,-100.0
62,-125.494,155.728,-100.0
63,-116.851,140.949,-100.0
64,-140.68,102.931,-79.8125
65,-139.187,96.639,-100.0
66,-136.297,146.366,-70.5411
67,-164.218,114.16,-70.4226
68,-145.695,95.4921,-89.1369
69,-113.095,127.513,-100.0
70,-133.561,98.7686,-88.9358
71,-128.265,118.864,-71.551
72,-133.743,110.727,-72.1255
73,-167.326,95.2828,-100.0
74,-118.126,152.063,-100.0
75,-113.703,135.629,-88.114
76,-132.942,128.802,-64.7081
77,-122.693,157.945,-92.9423
78,-173.799,98.9639,-92.8423
79,-166.404,95.4929,-88.6057
80,-117.994,144.926,-80.1647
81,-151.58,130.474,-58.4661
82,-117.223,122.208,-77.1936
83,-141.045,121.48,-60.5277
84,-150.681,95.3335,-78.0046
85,-122.318,101.799,-89.9301
86,-120.769,111.044,-77.6902
87,-175.536,95.8498,-100.0
88,-119.856,160.108,-100.0
89,-118.683,102.84,-100.0
90,-160.782,118.95,-58.9253
91,-124.878,138.893,-65.7678
92,-141.421,141.421,-58.2315
93,-128.162,100.397,-77.6164
94,-114.54,153.975,-89.8541
95,-128.436,92.6872,-100.0
96,-110.022,113.938,-100.0
97,-147.908,101.749,-66.0372
98,-159.472,102.054,-66.5452
99,-108.303,123.361,-87.4271
100,-149.921,112.219,-58.6642
101,-137.877,109.027,-62.2387
102,-147.576,85.2726,-100.0
103,-171.352,89.4484,-100.0
104,-125.546,155.686,-70.5039
105,-171.919,102.195,-70.2964
106,-112.963,157.137,-100.0
107,-120.158,126.825,-65.429
108,-116.977,162.224,-92.9243
109,-177.221,92.6971,-92.8055
110,-137.63,90.3463,-80.4302
111,-158.723,85.9511,-88.4909
112,-137.033,86.6266,-92.843
113,-118.462,161.142,-83.7601
114,-176.368,94.3094,-83.5467
115,-164.168,92.895,-74.5293
116,-162.051,84.4592,-100.0
117,-105.79,149.128,-100.0
118,-108.813,136.699,-76.1569
119,-170.881,86.7956,-89.5303
120,-155.042,86.6945,-77.8805
121,-106.037,145.644,-85.1193
122,-101.545,135.649,-100.0
123,-178.845,89.5234,-100.0
124,-114.065,164.284,-100.0
125,-142.969,124.112,-51.2
126,-111.706,110.289,-77.1642
127,-147.137,83.1454,-85.5069
128,-117.201,114.246,-66.7878
129,-101.524,121.571,-100.0
130,-168.978,106.988,-59.2631
131,-130.474,151.58,-58.4661
132,-134.563,135.445,-52.1791
133,-157.035,91.234,-68.8094
134,-117.532,98.8595,-79.02
135,-101.117,134.011,-88.1811
136,-163.422,85.6354,-78.6257
137,-132.055,125.285,-52.0648
138,-123.572,133.629,-56.0322
139,-165.579,95.2537,-64.4448
140,-113.054,95.8968,-91.0036
141,-110.176,155.17,-77.5632
142,-108.624,99.9648,-100.0
143,-145.755,136.951,-47.7755
144,-123.136,87.5089,-88.8144
145,-106.977,160.102,-100.0
146,-155.485,125.795,-46.9807
147,-173.002,82.1268,-100.0
148,-117.033,89.5782,-100.0
149,-140.107,113.567,-50.3036
150,-123.7,103.972,-62.4118
151,-111.111,166.296,-92.9016
152,-180.417,86.3121,-92.7637
153,-135.66,96.2692,-61.6628
154,-143.476,89.4623,-66.1981
155,-106.232,119.822,-70.489
156,-124.442,114.471,-54.8458
157,-113.848,143.147,-61.4555
158,-144.224,101.731,-53.6096
