frame;kp_00;kp_01;kp_02;kp_03;kp_04;kp_05;kp_06;kp_07;kp_08;kp_09;kp_10;kp_11;kp_12;kp_13;kp_14;kp_15;kp_16;kp_17;kp_18;kp_19;kp_20;kp_21;kp_22;kp_23
1;1.3486936507706757;1.5374187405963848;1.9445503516519302;1.642055148973427;1.5893737934365664;1.6985992344637633;1.1832377654231157;1.1094873733175585;0.8563746042780551;-0.13755707865748423;-0.8878393599849912;-1.0227739728160656;-1.2342485389891031;-1.8899978626020069;-0.6734371871185373;0.3255895380221812;-0.1376491067307229;-0.8279997315011725;-1.1443716582948806;-2.7239828064193667;-3.3277927881799436;-1.871946184603489;0.9237336267170511;2.644253978313746
2;1.1342549498088412;1.2287445331053723;1.8169283844654716;1.6897874722689825;1.2597655562627539;1.850929787174277;1.2800369222503578;1.0947630310488445;1.7130882397300988;0.42101870805590125;-0.589807062353798;-0.6463931082479034;-1.0686750783117236;-1.7282048163273283;-1.441942960044778;-0.6481947486197188;0.39259559977488073;0.009757162987319934;-0.7126885077995359;-1.7447804907866056;-3.376305745000994;-2.675233647565444;-0.2731528074002606;2.1400047826876634
3;0.7049787766086305;0.8294184897807612;1.5154970457956776;1.6142523920792033;0.940490626070552;1.6887596831060743;1.2635330669895641;0.9362116697895275;2.3235401069041477;1.051795619275447;-0.10586554172457223;-0.3157014399792559;-0.9072798123394933;-1.3821592571467003;-2.086458690605218;-1.4707484062189582;0.7943154273993545;0.6932854204922668;-0.27943250978342793;-0.728780521226611;-2.9783454409558052;-3.0753697949712118;-1.449159909537247;1.2558676308734698
4;0.1045252295644297;0.36154138710864553;1.0107791892729379;1.3600200629852082;0.7124088852679356;1.2182198534384838;1.1444885286812239;0.7145464538382695;2.5083262221802407;1.7114003899029087;0.5781456612927797;-0.003051998294108793;-0.6707416957976655;-0.9909315926062375;-2.413760818258813;-2.0165980330423943;1.0267723345870938;1.1467058644845318;0.2226803021277567;0.15007350672581377;-2.17028435581938;-3.0453192907988087;-2.3858397505889726;0.1402531809460666
5;-0.56788490114884;-0.15886858064158316;0.31197696240881834;0.9059372342922324;0.5735083274043794;0.5650107137319318;0.9284786266375742;0.5121162330742725;2.2382615022496246;2.2924170863854387;1.3861440698643046;0.3555853299772451;-0.30344409111279924;-0.6488825645803341;-2.286339456576865;-2.2257151805068442;1.067702592975305;1.3776387953292515;0.7923280863167848;0.8022260373243476;-1.068835470582227;-2.6423026180197056;-2.9378519881043315;-1.0316710689756825
6;-1.1955498828491162;-0.717242223831526;-0.5094594005153186;0.2806263512474194;0.45333829308123286;-0.06829362364194486;0.6235635365188681;0.37911478688095;1.6460723810191218;2.640794222611244;2.1644994203985344;0.8177076485690647;0.18771790056503657;-0.3689573457636838;-1.7000058974576973;-2.1007048703300764;0.9439188801044508;1.4395647962122795;1.349483489830123;1.2245101896320543;0.14085007149856812;-1.967651126318361;-3.0589745411395097;-2.0884698314659924
7;-1.6859984832055954;-1.2879638185851776;-1.3239664797143986;-0.44218243353971487;0.2592719456096369;-0.49137941563866916;0.2534795980348711;0.31451555114678365;0.9621523118984081;2.613060216772109;2.7264462072824145;1.3865455528212969;0.7345892694660764;-0.09269701247351525;-0.8029209279694093;-1.6894571921964796;0.7466581529775516;1.3815350154424897;1.76909418352058;1.469058125182652;1.2422461081106675;-1.1240288415779744;-2.790408001099656;-2.883378737922316
8;-1.996762339175132;-1.8222817432554574;-1.9798374934140097;-1.1625692850882836;-0.0702467199956674;-0.6157609740681902;-0.13430514817004272;0.27043308431642354;0.4079573573040316;2.1490608082556237;2.9108790098775654;1.982977313746258;1.242214389244902;0.25845762052182886;0.15797112112292427;-1.0680300835275547;0.610230610318173;1.2221000604021506;1.937453098789098;1.5976368745379004;2.040923266791608;-0.1945446091541291;-2.2223515017255835;-3.3073476094684953
9;-2.1345221361357027;-2.246504640097711;-2.3567419889392807;-1.7768256239441504;-0.5312647020220121;-0.4958804866129964;-0.47419357234487947;0.17867870589515755;0.10070756817620657;1.3207238419822376;2.6345399568603423;2.4548726637363276;1.6311742654592136;0.719206323912721;0.9370812211137596;-0.3326509288664213;0.6546038109087335;0.9638794798149372;1.8022217426078064;1.6437534173714787;2.4163042235723493;0.7476332839050215;-1.4518651634770996;-3.298355996148647
10;-2.1309736913046637;-2.4757152254308346;-2.410534018423027;-2.195349632334294;-1.052735083735756;-0.2981725631001109;-0.7024926121410813;-0.011739447939287884;0.014668445394804497;0.32440356108541896;1.9207235825234494;2.6250502257493373;1.8610975658100515;1.2402575252324242;1.385447770880509;0.40187598865202523;0.918268264042626;0.6336139757202299;1.394555879476702;1.5986163190900462;2.3519710712368473;1.612372415576893;-0.5595144349146154;-2.8496365444903105
11;-2.01067968151185;-2.4397457273112786;-2.1853734158089604;-2.354730783542001;-1.5246599773654566;-0.21371799047116385;-0.7835834190653269;-0.30302475696325676;0.013122351061384735;-0.5879988739547484;0.8964453256991759;2.3603332383452713;1.924025891265401;1.6958999286269036;1.493526384454065;1.00866644101086;1.3200845512961124;0.3115119232240712;0.8181516937858382;1.424626452205026;1.9324418684135947;2.2754439263398196;0.38580206537449224;-2.015643737521933
12;-1.7698257615274224;-2.110696342760481;-1.7856025750976097;-2.227310378131805;-1.8395687979702369;-0.36060663436745155;-0.7288102658994818;-0.6381370252044871;-0.07112590184850662;-1.2102472931005137;-0.24014063031362354;1.632691723688787;1.8179140966698553;1.936718836550638;1.364243221582858;1.3703207304979481;1.67808675869918;0.11818257487313552;0.21515868312147496;1.08752514170845;1.3079592046873376;2.5943672904305677;1.302958041835801;-0.911417251046818
13;-1.3783762120816094;-1.519227264976727;-1.3217741817909325;-1.8303300447522604;-1.927716270521929;-0.7266217180127503;-0.5967008480291593;-0.9181001510466087;-0.3507818719940181;-1.4660869784663872;-1.2721087595967526;0.5451328204953672;1.5243106138937934;1.8594879403514424;1.137741104787901;1.4147018186670945;1.783677762148082;0.15573151853268252;-0.2746202394903163;0.5908273697443462;0.6420233056351976;2.4597975519073856;2.0780480737044917;0.29930952646404185
14;-0.8051059345111826;-0.7515042745412637;-0.8602034927873004;-1.231242529146056;-1.773198760799755;-1.179424933986942;-0.47162434335383013;-1.0415139383474417;-0.8358102193181387;-1.4332523798293226;-2.020791126394627;-0.6906226496362095;1.0113325115890834;1.4564680817472708;0.9136232932536209;1.1501262284174123;1.497735273938372;0.4339059107968014;-0.5478927592301577;-0.003983318579623418;0.06288869887137784;1.8594004664915225;2.5694498856459806;1.428825097182051
15;-0.052281145993194215;0.07249948840446122;-0.4041936398567716;-0.5413097027845186;-1.409674375056765;-1.5343151677663174;-0.42868235241305663;-0.9501628295098289;-1.43915042367476;-1.2938708377914838;-2.3908836645309384;-1.8172115890529585;0.26520625279502014;0.8179205484240221;0.7131037314850827;0.6781265316527609;0.8199402253220195;0.8296448804773183;-0.5597425463064075;-0.5817204028080862;-0.36292667821121566;0.9166294430003873;2.646348213565239;2.2995260978668823
