epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34.6923,1.52567,10.3985,0.70907,1.70552,0.0363,26.8786,0.99971,1,0.995,0.8063,0,0,0,0,0.78739,9.94543,0.7862,0.20372,0.02354,0,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545
2,67.2384,0.74823,7.58206,0.73174,0.2987,0.01739,11.2335,1,0.99826,0.995,0.78391,0,0,0,0,1.05488,9.30702,0.76916,0.24285,0.04355,0,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223
3,99.4121,0.80201,6.47994,0.68838,0.37693,0.01857,8.4279,0.99924,1,0.995,0.89379,0.32472,0.325,0.12882,0.01487,0.55184,4.29153,0.67139,0.15815,0.02228,0,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424
4,132.369,0.80681,6.43445,0.60529,0.37111,0.01893,7.47302,0.9998,0.995,0.995,0.8289,0.00565,0.005,0.00031,3e-05,0.77705,7.06775,0.43008,0.21349,0.02843,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,165.881,0.77169,5.00264,0.5531,0.39084,0.01813,6.07225,0.86584,0.885,0.93603,0.83559,0.52024,0.72,0.49632,0.16377,0.68236,5.3815,0.38887,0.52222,0.02255,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,198.947,0.68921,4.56479,0.51782,0.35184,0.01597,5.40151,0.99968,1,0.995,0.90056,0.99468,0.995,0.99275,0.30117,0.45406,2.64096,0.39184,0.19766,0.01087,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,232.384,0.60899,3.77509,0.48857,0.36324,0.01385,4.84483,0.99973,1,0.995,0.80589,0.88476,0.885,0.80161,0.15837,0.78804,3.21438,0.37164,0.24865,0.02848,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,265.519,0.58634,3.82376,0.47687,0.37229,0.01341,4.57113,0.99743,1,0.995,0.89024,0.95255,0.955,0.91202,0.24761,0.62732,2.78251,0.37729,0.68535,0.01549,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,298.087,0.54855,3.44248,0.46378,0.38747,0.01231,4.01857,0.99972,1,0.995,0.91892,0.99972,1,0.995,0.4514,0.39804,1.97098,0.37425,0.11829,0.01414,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,330.23,0.58068,3.20841,0.45658,0.33724,0.01299,3.5627,0.9949,0.9763,0.99485,0.92169,0.9949,0.9763,0.99485,0.47757,0.38428,1.82381,0.35605,0.48006,0.01145,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
